video_id,titolo,canale,keyword,region,views_now,likes_now,comments_now,er_now,estrazione_dt,views_prev,likes_prev,comments_prev,er_prev,Δviews_%,Δlikes_%,ΔER_%
-y4swMaeJeI,AI Tools for Small Business - 7 Ways Small Business Can Use AI Today,Philip VanDusen,small business ai tools,NONE,167919,3054,148,1.91,2025-10-30 17:42:24,,,,,0.0,0.0,0.0
0LcIcKlXtOk,How to Run Facebook Ads In 2025 (Full Beginners Guide),Michael Bernstein,facebook marketing 2025,US,113710,2731,98,2.49,,,,,,0.0,0.0,0.0
0i1l4F65KIA,beginners guide to facebook ads in 2025 (freelance brand scaling),roasbrez,facebook marketing 2025,US,99153,6468,309,6.83,,,,,,0.0,0.0,0.0
39zbC_PrNQs,Roadmap to Become a Generative AI Expert for Beginners in 2025,Analytics Vidhya,neural marketing ai 2025,IT,1615632,10234,70,0.638,,,,,,0.0,0.0,0.0
3MwMII8n1qM,What Will Happen to Marketing in the Age of AI? | Jessica Apotheker | TED,TED,ai digital marketing 2025,NONE,778570,14047,355,1.85,2025-10-30 17:36:23,,,,,0.0,0.0,0.0
3hKcWijoh38,How digital marketing works? #shorts,You Create TALK,ai digital marketing 2025,NONE,1002,0,0,0.0,2025-10-30 17:36:23,,,,,0.0,0.0,0.0
5MWT_doo68k,"OpenAI’s Sam Altman Talks ChatGPT, AI Agents and Superintelligence — Live at TED2025",TED,neural marketing ai 2025,IT,2034535,32373,3888,1.782,,,,,,0.0,0.0,0.0
5hZCTc_mwOg,How to Get SO Many Customers with AI it feels ILLEGAL,Dan Martell,marketing ai,NONE,119884,4848,446,4.42,2025-10-30 17:11:13,,,,,0.0,0.0,0.0
7bdvpcbL4vk,How To Market A Brand New Facebook Page In 2025 [FOR BEGINNERS],LYFE Marketing,facebook marketing 2025,US,4778,170,8,3.73,,,,,,0.0,0.0,0.0
7mlt1G2HO58,Empowering Businesses With A.I | DORE Podcast EPS.42,DORE Podcast - Ottawa Business & Entrepreneurship,small business ai tools,NONE,14,1,0,7.14,2025-10-30 17:42:24,,,,,0.0,0.0,0.0
9RvWcXVaAng,Integrating Generative AI Into Business Strategy: Dr. George Westerman,MIT Corporate Relations,neural marketing ai 2025,IT,177194,3560,0,2.009,,,,,,0.0,0.0,0.0
AnaBQacfH50,🤖 Agentic AI Explained | NVIDIA GTC 2025 Keynote with Jensen Huang 🚀,AI Beyond Infinity,neural marketing ai 2025,US,158762,2769,103,1.81,,,,,,0.0,0.0,0.0
BQOxZevyU3E,Facebook Marketing Strategy 2025 | From Facebook Beginner to EXPERT In One Video!,Adam Erhart,facebook marketing 2025,US,245838,4780,169,2.01,,,,,,0.0,0.0,0.0
BZrio_G_1Cs,The BEST Facebook Ads Tutorial for Beginners 2025 (Full Guide),Ben Heath,facebook marketing 2025,US,550735,12347,645,2.36,,,,,,0.0,0.0,0.0
B_q7gXzfDYg,New Ai Tool for creating ads 🤖,Chase Chappell,neural marketing ai 2025,IT,47791,1026,211,2.588,,,,,,0.0,0.0,0.0
Ej9zCLI2ZdY,10 Must-Try AI Tools For Your Business (2025),Hostinger Academy,small business ai tools,NONE,161131,2858,149,1.87,2025-10-30 17:42:24,,,,,0.0,0.0,0.0
IT_4tIbxYmo,How To Start a AI Marketing Agency in 2025 (No Code) | Step-by-Step,Whitney Bonds,ai digital marketing 2025,NONE,1908,121,18,7.29,2025-10-30 17:36:23,,,,,0.0,0.0,0.0
JvMWxMU219A,Data Science Roadmap 2025 | Become a Data Scientist from Scratch! #datascienceinstitute #hadoop,SamviraAI,neural marketing ai 2025,IT,681925,7074,26,1.041,,,,,,0.0,0.0,0.0
KYoduo9DLSc,How to Start a Digital Marketing Agency in 2025 (No Experience or Money Needed),Adam Erhart,ai digital marketing 2025,NONE,21220,2322,40,11.13,2025-10-30 17:36:23,,,,,0.0,0.0,0.0
LMbfhVrkifw,Marketing Legend: The True Future of AI in Marketing,Leveling Up with Eric Siu,marketing ai,NONE,128680,2943,92,2.36,2025-10-30 17:11:13,,,,,0.0,0.0,0.0
MOCPCwGm3Dw,3 Best AI tools for market research,Learn With Shopify,neural marketing ai 2025,IT,64842,1994,8,3.088,,,,,,0.0,0.0,0.0
OBqYU0opS3g,6 BRAND NEW Digital Marketing Trends for 2025,Neil Patel,ai digital marketing 2025,NONE,108857,3067,237,3.04,2025-10-30 17:36:23,,,,,0.0,0.0,0.0
OQIBf2mIs58,The 10 BEST Digital Marketing Tools of 2025 (Proven & Profitable),Adam Erhart,ai digital marketing 2025,NONE,10393,1342,24,13.14,2025-10-30 17:36:23,,,,,0.0,0.0,0.0
RX3nmBjQnoQ,How I Automated My Entire Agency with These 10 Powerful AI Tools | Alok Badatia,Alok kumar Badatia,marketing ai,NONE,698,55,1,8.02,2025-10-30 17:11:13,,,,,0.0,0.0,0.0
